method,method_label,step,mean_return,std_return,n_seeds,sem_return,step_millions
adam,Adam,196608,-29.706403096516926,2.190835844365413,3,1.2648796644946523,0.196608
adam,Adam,393216,-33.39222272237142,2.7268312541838875,3,1.5743367586377524,0.393216
adam,Adam,589824,-29.55907376607259,2.1523786447753195,3,1.2426763899590327,0.589824
adam,Adam,786432,-25.379117329915363,2.520830357041984,3,1.45540208521957,0.786432
adam,Adam,983040,-21.682640711466473,2.4874243271752707,3,1.4361151048834664,0.98304
adam,Adam,1179648,-17.387285868326824,2.1076071782845225,3,1.2168275717285566,1.179648
adam,Adam,1376256,-13.860082944234213,2.0390999752678876,3,1.1772749196254741,1.376256
adam,Adam,1572864,-10.354627927144367,2.4308655447078458,3,1.4034608766008612,1.572864
adam,Adam,1769472,-6.430050055185954,1.6855361362298655,3,0.9731447419811546,1.769472
adam,Adam,1966080,-3.267466346422831,1.5374128259351965,3,0.887625708909269,1.96608
adam,Adam,2162688,-0.15263346334298453,1.8518081087070766,3,1.0691419100495625,2.162688
adam,Adam,2359296,3.2831844488779702,1.370084023027589,3,0.791018379507384,2.359296
adam,Adam,2555904,6.590017318725586,1.7277099164430056,3,0.9974937853399553,2.555904
adam,Adam,2752512,9.416744073232016,1.3809807144914172,3,0.7973095872573015,2.752512
adam,Adam,2949120,12.702218373616537,1.8756605029762896,3,1.0829130963017097,2.94912
adam,Adam,3145728,15.773412386576334,0.8160706841975494,3,0.47115862919921725,3.145728
adam,Adam,3342336,18.847331364949543,1.527713021952438,3,0.8820255244687367,3.342336
adam,Adam,3538944,22.618916193644207,2.067177368800922,3,1.1934854103399146,3.538944
adam,Adam,3735552,25.612555185953777,1.6852605277702504,3,0.9729856193628049,3.735552
adam,Adam,3932160,29.53613789876302,2.148197943151491,3,1.2402626607511136,3.93216
adam,Adam,4128768,34.162288665771484,1.7935984348797835,3,1.0355345391959345,4.128768
adam,Adam,4325376,37.237953186035156,2.9297732826951046,3,1.6915053934285922,4.325376
adam,Adam,4521984,41.413352966308594,1.9948890658890495,3,1.1517497391944838,4.521984
adam,Adam,4718592,46.31469472249349,2.8179160317675835,3,1.6269245794947764,4.718592
adam,Adam,4915200,51.35376485188802,3.631947856338468,3,2.096906072539699,4.9152
adam,Adam,5111808,55.76240030924479,3.96560200755922,3,2.2895413865632364,5.111808
adam,Adam,5308416,61.553462982177734,4.978982785806117,3,2.8746170516756746,5.308416
adam,Adam,5505024,66.93527603149414,4.793150127632774,3,2.7673265164550713,5.505024
adam,Adam,5701632,73.53729756673177,6.46587311538443,3,3.733073583713165,5.701632
adam,Adam,5898240,82.68059539794922,7.375573693808905,3,4.258289457548494,5.89824
adam,Adam,6094848,88.56825510660808,7.11203146892084,3,4.106133283066537,6.094848
adam,Adam,6291456,95.40169525146484,4.891332792150362,3,2.824012304244056,6.291456
adam,Adam,6488064,103.10669453938802,5.86010239428492,3,3.383331694819169,6.488064
adam,Adam,6684672,112.3181660970052,8.45037952314949,3,4.87882889244486,6.684672
adam,Adam,6881280,118.43251291910808,7.775850993785778,3,4.489389664440639,6.88128
adam,Adam,7077888,129.63562520345053,11.145701691328266,3,6.434973871795642,7.077888
