interval_start_millions,interval_end_millions,method,method_label,average_return,n_seeds
0.0,200.0,adam,Adam,2169.65049900651,8
0.0,200.0,cbplrrN,CBP,2031.4972341449395,8
0.0,200.0,cprVL,CPR,2343.744316046206,7
0.0,200.0,redo,ReDo,2147.987018778443,9
0.0,200.0,regrama,ReGraMa,2025.4716254108025,9
0.0,200.0,shrink_and_perturb,Shrink & Perturb,2227.3329993132747,8
200.0,400.0,adam,Adam,1013.384174118117,8
200.0,400.0,cbplrrN,CBP,530.5878421892224,8
200.0,400.0,cprVL,CPR,890.4257764327324,7
200.0,400.0,redo,ReDo,750.4834893975872,9
200.0,400.0,regrama,ReGraMa,517.4416966579474,9
200.0,400.0,shrink_and_perturb,Shrink & Perturb,868.9056881779884,8
400.0,600.0,adam,Adam,1041.686734451774,8
400.0,600.0,cbplrrN,CBP,749.4204173721043,8
400.0,600.0,cprVL,CPR,1108.2871572422434,7
400.0,600.0,redo,ReDo,1041.5530078387399,9
400.0,600.0,regrama,ReGraMa,828.6891004415883,9
400.0,600.0,shrink_and_perturb,Shrink & Perturb,1042.2007006332938,8
600.0,800.0,adam,Adam,990.5486954526797,8
600.0,800.0,cbplrrN,CBP,1024.882829191174,8
600.0,800.0,cprVL,CPR,1251.1248558948057,7
600.0,800.0,redo,ReDo,1384.872296998522,9
600.0,800.0,regrama,ReGraMa,785.9682916376014,9
600.0,800.0,shrink_and_perturb,Shrink & Perturb,1492.390389167021,8
800.0,1000.0,adam,Adam,787.2583832198071,8
800.0,1000.0,cbplrrN,CBP,904.4690343684268,8
800.0,1000.0,cprVL,CPR,1075.4789024896377,7
800.0,1000.0,redo,ReDo,911.3432209325152,9
800.0,1000.0,regrama,ReGraMa,777.3001978494528,9
800.0,1000.0,shrink_and_perturb,Shrink & Perturb,1227.577688965474,8
1000.0,1200.0,adam,Adam,809.611173246421,8
1000.0,1200.0,cbplrrN,CBP,1051.0192319458606,8
1000.0,1200.0,cprVL,CPR,968.4286514410452,7
1000.0,1200.0,redo,ReDo,868.7639367429779,9
1000.0,1200.0,regrama,ReGraMa,769.141438536135,9
1000.0,1200.0,shrink_and_perturb,Shrink & Perturb,1246.865360849044,8
